timestamp,open,high,low,close,volume,vwap
2024-08-21 04:00:00-04:00,197.55,197.55,197.55,197.55,433,197.63
2024-08-21 04:00:30-04:00,197.29,197.29,197.26,197.26,946,197.4202
2024-08-21 04:00:45-04:00,197.82,197.82,197.82,197.82,624,197.82
2024-08-21 04:01:15-04:00,198.0,198.01,198.0,198.01,250,198.034
2024-08-21 04:03:15-04:00,197.79,197.79,197.79,197.79,677,197.7888
2024-08-21 04:04:30-04:00,197.86,197.86,197.86,197.86,499,197.86
2024-08-21 04:05:00-04:00,197.96,197.96,197.96,197.96,100,197.96
2024-08-21 04:07:15-04:00,197.59,197.61,197.59,197.61,373,197.6166
2024-08-21 04:09:00-04:00,197.1,197.1,197.0,197.0,572,197.0553
2024-08-21 04:09:30-04:00,197.0,197.0,197.0,197.0,403,197.0012
2024-08-21 04:10:30-04:00,196.7,196.7,196.7,196.7,258,196.7
2024-08-21 04:12:30-04:00,196.51,196.51,196.51,196.51,292,196.5028
2024-08-21 04:14:30-04:00,196.43,196.43,196.43,196.43,162,196.4491
2024-08-21 04:19:00-04:00,196.95,196.95,196.95,196.95,100,196.95
2024-08-21 04:19:45-04:00,196.92,196.92,196.92,196.92,382,196.8661
2024-08-21 04:20:00-04:00,197.05,197.05,197.05,197.05,1168,197.2097
2024-08-21 04:22:00-04:00,197.29,197.29,197.29,197.29,149,197.29
2024-08-21 04:24:15-04:00,197.2,197.2,197.2,197.2,320,197.205
2024-08-21 04:24:30-04:00,197.1,197.1,197.1,197.1,371,197.0978
2024-08-21 04:27:45-04:00,196.88,196.88,196.88,196.88,300,196.88
2024-08-21 04:32:00-04:00,196.82,196.82,196.82,196.82,104,196.8204
2024-08-21 04:34:00-04:00,197.0,197.0,197.0,197.0,260,196.9992
2024-08-21 04:38:00-04:00,197.01,197.01,196.9,196.9,1227,196.9276
2024-08-21 04:44:15-04:00,197.05,197.05,197.0,197.0,919,197.0133
2024-08-21 04:44:45-04:00,196.6,196.6,196.5,196.5,959,196.5828
2024-08-21 04:51:30-04:00,196.31,196.31,196.0,196.0,2432,196.1794
2024-08-21 04:55:15-04:00,196.25,196.25,196.25,196.25,108,196.25
2024-08-21 04:58:15-04:00,196.25,196.25,196.25,196.25,412,196.2502
2024-08-21 05:00:45-04:00,196.12,196.12,196.12,196.12,140,196.12
2024-08-21 05:01:00-04:00,196.02,196.02,196.01,196.01,772,196.0117
2024-08-21 05:01:30-04:00,195.91,195.91,195.91,195.91,275,195.9177
2024-08-21 05:02:00-04:00,195.93,195.93,195.93,195.93,100,195.93
2024-08-21 05:06:15-04:00,195.78,195.78,195.78,195.78,100,195.78
2024-08-21 05:08:15-04:00,195.8,195.8,195.8,195.8,260,195.8092
2024-08-21 05:09:00-04:00,195.9,195.9,195.9,195.9,235,195.9113
2024-08-21 05:15:15-04:00,195.96,196.0,195.96,195.96,796,195.9711
2024-08-21 05:15:45-04:00,195.92,195.92,195.92,195.92,433,195.9511
2024-08-21 05:16:45-04:00,196.0,196.0,196.0,196.0,400,196.0
2024-08-21 05:17:30-04:00,195.92,195.93,195.92,195.93,388,195.9272
2024-08-21 05:37:45-04:00,195.8,195.8,195.8,195.8,320,195.7938
2024-08-21 05:42:30-04:00,195.8,195.8,195.8,195.8,176,195.8019
2024-08-21 05:47:30-04:00,195.64,195.64,195.6,195.6,479,195.6199
2024-08-21 05:51:15-04:00,195.6,195.6,195.6,195.6,850,195.6
2024-08-21 05:51:30-04:00,195.6,195.6,195.6,195.6,167,195.6
2024-08-21 05:52:30-04:00,195.73,195.73,195.73,195.73,100,195.73
